Respondent_Serial,brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I’m able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
17,McDonalds,6,7,6,7,7,6,7,6,5,7,5,5,7,5,5,5,6,6,6,6,7,6,5,5,5,5,7,7,5,6,6,6,5,6,6,7,7,6,6,6,6
19,Firehouse Subs,2,5,4,5,5,7,5,5,5,5,5,6,4,5,4,4,5,4,5,5,5,4,2,5,5,5,4,5,4,5,4,5,4,1,5,5,6,2,4,5,4
19,Jersey Mikes,4,4,6,5,6,5,4,5,5,6,6,6,3,6,5,5,6,5,5,5,5,6,6,6,5,5,5,4,6,4,5,6,5,6,5,5,6,6,5,6,5
20,Chipotle,1,1,,1,,,,1,1,,1,,1,,1,,,,,1,1,,1,1,1,,2,1,,,,,,1,,,,,1,1,
20,Jersey Mikes,4,4,3,4,3,4,3,3,3,3,4,3,3,4,3,4,3,4,5,4,4,4,4,4,4,3,4,2,3,3,3,3,4,4,4,3,3,4,3,3,4
21,Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
21,McDonalds,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
22,Subway,5,6,6,6,5,5,6,5,6,6,6,5,5,6,5,5,5,3,5,7,6,5,7,7,6,5,6,4,6,6,6,6,6,5,6,6,5,6,7,3,5
22,McDonalds,5,5,6,5,5,4,3,5,4,4,4,4,3,5,5,5,5,3,3,5,6,3,3,7,4,6,5,3,6,6,5,5,4,6,4,4,4,4,4,2,5
26,Firehouse Subs,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
27,Chipotle,7,5,7,5,6,6,5,6,6,5,5,6,6,5,6,5,5,5,5,6,5,5,5,5,7,7,5,6,6,5,5,6,6,6,7,5,6,7,6,5,6
27,Panera,6,5,5,5,5,5,6,5,6,6,5,5,6,6,6,6,6,5,6,6,6,5,5,5,5,5,6,6,6,6,6,6,5,6,5,5,5,6,5,5,6
29,Chipotle,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1
29,Firehouse Subs,7,7,7,7,6,6,6,6,6,6,7,6,6,5,6,6,7,,6,6,6,6,6,6,7,,7,7,6,6,6,6,6,,7,6,6,6,6,6,6
30,Jimmy Johns,5,6,7,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,5,5,5,6,5,6,6,7,5,6,6,6,5,6,5,6,7,5,6,5,5,5,6
30,Panera,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6
31,Subway,5,5,7,4,4,5,6,4,5,6,6,5,4,4,3,6,4,1,5,4,7,4,6,6,3,5,7,5,5,6,4,2,6,5,6,3,4,7,7,3,3
31,Panera,6,3,6,2,5,4,4,3,4,3,3,4,2,2,3,3,2,1,4,3,2,5,3,4,3,2,3,3,5,5,3,3,5,4,4,3,4,3,4,3,3
32,Subway,6,7,7,7,6,7,7,7,5,7,6,5,5,7,5,7,5,7,6,7,7,6,7,7,7,5,7,7,7,5,7,6,7,4,7,6,7,7,7,7,7
32,McDonalds,6,5,6,6,7,6,4,6,5,5,7,4,6,4,5,5,7,6,7,6,7,7,3,7,7,7,7,7,5,6,6,7,6,7,7,5,7,4,5,5,5
33,Subway,4,4,5,6,6,4,6,5,5,6,5,5,3,5,5,5,4,4,5,4,6,5,6,5,6,5,6,5,4,4,4,4,5,6,6,5,7,5,5,5,5
33,Jersey Mikes,3,6,4,6,3,4,5,4,5,4,2,5,4,4,5,4,4,4,6,5,6,6,5,4,6,4,5,5,6,6,5,4,6,5,6,6,5,7,6,6,4
34,Chipotle,1,,1,,5,5,,,,4,4,4,,,,,,,5,4,4,4,5,,5,1,1,,,2,,,1,,2,,1,,,1,
34,Jimmy Johns,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,1,1
44,Chipotle,6,7,6,6,5,4,4,4,5,5,6,5,6,6,5,6,5,4,5,6,7,6,7,7,6,4,5,7,6,7,5,6,4,3,6,6,6,6,3,4,5
44,Panera,6,7,6,4,7,6,4,4,5,4,6,4,6,6,5,6,4,4,5,6,5,5,4,4,5,4,6,6,5,6,6,6,3,4,6,5,4,5,6,6,6
45,Subway,5,5,4,4,5,6,6,5,5,6,5,,5,5,5,5,5,5,5,5,5,5,7,7,5,5,3,3,5,5,5,5,5,5,6,5,5,6,6,5,4
45,McDonalds,6,5,6,6,6,5,5,5,6,5,5,5,6,6,6,6,5,4,4,4,5,5,4,6,6,6,,3,5,5,6,7,6,5,5,5,5,5,4,5,5
47,Jersey Mikes,4,4,4,4,4,4,4,,4,4,5,4,4,3,4,4,2,,4,,4,,4,5,4,,5,,,4,4,4,4,4,4,4,4,4,4,4,
47,Panera,6,5,5,4,5,4,4,,,4,5,,5,3,4,4,4,4,,4,5,3,,5,4,,4,,,5,,5,4,5,5,5,5,4,5,3,
48,Jersey Mikes,7,5,7,5,5,5,5,7,4,5,5,5,5,4,4,5,3,7,5,7,5,5,7,6,5,4,5,4,5,5,5,5,5,5,7,7,5,5,5,5,7
48,McDonalds,4,4,4,4,3,4,3,4,3,4,3,3,5,3,4,4,4,4,3,4,4,3,3,3,4,3,4,5,4,3,3,4,3,3,3,4,4,4,4,4,4
52,Firehouse Subs,5,6,6,7,6,7,5,7,6,5,6,6,6,5,6,6,6,5,7,6,6,7,6,7,7,6,6,6,6,6,5,6,6,6,6,6,6,7,6,5,7
52,Jersey Mikes,6,6,5,7,6,6,6,7,5,5,7,6,7,7,7,7,7,5,6,7,6,6,7,6,5,6,6,6,7,7,6,7,6,7,6,6,6,7,7,6,6
54,Jimmy Johns,4,4,2,2,4,3,4,3,4,4,5,5,2,3,5,3,3,3,4,1,4,4,5,4,3,1,3,1,2,5,4,4,4,3,3,5,5,4,4,3,5
54,Panera,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Chipotle,3,6,6,2,4,1,3,3,3,2,5,3,1,1,2,1,1,1,1,2,2,2,7,1,3,3,1,,2,3,3,3,3,4,5,4,6,5,,1,3
56,Panera,5,7,7,6,6,5,5,6,4,6,4,5,2,1,1,2,2,3,3,5,6,3,4,6,6,5,4,,7,7,4,4,,,7,7,6,5,7,2,5
57,Firehouse Subs,7,7,5,6,7,5,5,6,6,5,4,7,5,6,6,7,5,6,7,6,6,7,6,6,7,6,6,5,4,7,4,5,6,5,6,6,7,7,6,6,7
57,Jimmy Johns,7,5,5,7,6,6,7,6,5,6,7,6,6,6,7,6,7,7,7,7,7,6,5,6,6,6,6,7,5,6,6,6,6,6,7,7,4,7,6,6,7
60,Firehouse Subs,6,6,5,5,5,5,6,5,5,6,6,5,6,6,4,5,6,5,5,5,5,5,5,5,5,6,4,5,6,5,6,6,6,5,5,5,6,6,5,6,5
60,Jersey Mikes,6,5,6,6,5,6,4,6,4,5,5,5,6,6,5,7,7,5,5,6,5,6,7,4,5,5,6,6,5,6,6,5,5,6,7,5,5,6,6,4,5
62,Jimmy Johns,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,7,6,6
62,McDonalds,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6
64,Jersey Mikes,3,4,5,4,4,4,3,3,3,4,5,2,3,3,2,2,4,3,4,3,4,2,2,2,3,3,3,4,3,5,3,4,2,3,4,3,3,3,3,3,3
64,Jimmy Johns,4,4,5,3,3,3,2,2,3,3,4,5,2,2,2,2,3,2,4,4,6,4,3,5,3,3,4,3,3,2,3,2,4,3,3,4,4,3,4,3,3
65,Chipotle,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
65,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7
74,Firehouse Subs,7,6,6,4,6,6,5,5,,6,6,5,5,5,5,5,1,,,6,6,,5,6,6,,6,,6,6,5,5,5,5,6,6,7,6,5,,
74,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,,7,7,7,7,7,7,7,5,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7
76,Chipotle,7,5,7,2,7,7,7,7,,7,5,4,7,7,6,7,7,7,7,6,6,7,,7,7,7,7,4,4,,6,4,5,5,4,6,7,4,,4,7
76,Jimmy Johns,6,7,6,7,6,7,6,6,7,7,7,5,7,7,7,7,7,7,6,1,7,1,7,7,7,6,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7
79,Subway,6,6,6,6,6,5,4,4,6,4,6,6,6,7,5,7,7,4,4,6,5,4,4,6,7,5,5,6,5,6,6,5,4,4,5,5,5,3,7,7,5
79,Panera,6,6,6,6,5,5,5,4,4,5,5,4,6,3,7,4,5,6,5,5,6,6,7,5,5,3,4,5,4,5,5,4,6,4,4,6,5,5,7,6,7
80,Jersey Mikes,6,6,6,5,5,5,6,5,5,5,6,5,5,4,4,5,5,4,5,5,5,5,6,6,5,5,5,3,5,5,5,5,5,5,6,6,6,5,6,5,5
80,Panera,6,5,5,5,4,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,3,4,5,5,5,5,5,5,5,5,5,5,4,5
82,Chipotle,2,3,2,2,3,3,2,2,2,2,3,2,1,3,2,2,2,2,2,2,4,2,4,4,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
82,Jersey Mikes,2,2,2,1,3,2,1,2,1,3,4,2,2,2,4,2,1,2,2,3,3,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,3,3,2
84,Firehouse Subs,6,4,7,5,6,6,4,7,7,6,5,4,6,7,6,6,7,7,6,7,5,5,5,5,5,7,5,5,7,5,6,7,7,6,6,6,6,6,6,7,5
84,Jersey Mikes,5,6,7,6,7,5,6,6,6,4,6,4,5,6,6,6,7,6,6,6,7,5,4,5,6,4,5,6,5,7,7,6,6,5,7,6,5,7,6,7,7
85,Jimmy Johns,4,5,6,6,5,5,5,6,5,5,4,5,7,6,6,5,6,5,4,5,5,5,6,5,4,5,4,2,6,5,6,5,6,6,6,5,6,5,3,6,6
85,Panera,5,5,4,6,5,6,4,4,7,5,5,4,5,5,5,6,6,5,6,6,5,4,5,3,5,5,5,5,7,4,6,6,6,4,4,5,6,6,5,6,6
86,Subway,3,4,5,2,4,4,6,4,4,3,4,4,3,2,3,3,4,2,4,5,6,5,4,4,5,3,6,4,4,7,4,4,4,3,6,4,5,6,7,3,4
86,Jimmy Johns,2,4,5,3,4,5,5,5,3,5,3,3,2,2,2,5,2,2,4,5,5,6,5,3,3,4,2,6,5,6,4,6,4,4,6,6,6,5,6,2,4
87,Firehouse Subs,4,4,5,5,6,4,6,5,6,6,5,4,5,3,5,5,4,,4,7,5,4,5,5,5,5,4,3,5,6,5,,5,4,7,6,5,6,6,5,6
87,Jersey Mikes,4,5,4,5,6,5,6,5,4,5,5,,4,4,5,4,4,4,5,4,6,6,6,5,5,6,5,,5,5,5,4,,4,6,7,7,7,6,5,6
88,Firehouse Subs,3,5,6,2,4,5,4,4,3,5,3,5,4,5,4,5,4,,5,5,5,5,6,7,5,7,1,,4,5,6,5,4,4,4,5,4,4,4,5,5
88,Jimmy Johns,7,7,6,7,7,7,7,6,5,5,5,7,7,7,5,7,5,7,7,6,6,7,6,7,7,7,7,5,6,7,6,7,7,7,6,7,7,7,7,7,5
89,McDonalds,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,Panera,4,1,3,1,4,5,2,1,1,3,4,1,1,1,3,1,1,1,3,3,6,3,3,3,3,1,5,1,1,4,2,1,1,2,3,1,2,1,1,1,1
92,Chipotle,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,4,6,5
92,Jimmy Johns,5,6,7,5,7,6,7,5,6,6,6,5,6,5,6,6,5,5,6,6,6,5,7,6,5,5,7,7,6,6,5,6,5,6,7,6,6,6,6,6,5
93,Subway,6,4,6,4,6,4,5,5,5,6,4,4,7,4,6,5,7,4,6,5,5,4,4,5,5,4,5,4,7,6,5,5,5,3,6,5,6,4,6,5,6
93,McDonalds,4,3,5,4,5,3,4,3,5,4,4,3,4,2,5,4,2,3,3,3,5,4,2,2,4,5,2,3,5,3,4,4,4,4,4,4,5,3,3,5,5
96,Subway,3,3,4,3,5,3,5,5,6,5,5,5,5,4,5,3,6,3,4,5,5,5,6,6,3,3,6,6,5,5,5,3,4,3,5,5,4,6,6,5,4
96,Chipotle,4,6,6,6,6,4,6,5,5,5,4,5,5,3,5,5,3,3,5,6,6,6,6,5,5,5,4,4,4,5,6,5,2,5,5,6,5,4,,5,5
97,Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7
97,McDonalds,7,7,6,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
100,Subway,3,2,3,3,3,2,4,3,2,5,2,2,2,2,3,2,2,,3,5,5,3,5,4,4,1,2,2,4,5,3,3,2,2,4,3,3,3,4,3,4
100,Panera,5,5,4,3,2,4,5,4,2,4,3,3,3,4,3,4,,,6,5,3,6,2,3,3,4,2,,6,5,5,5,2,3,4,2,,3,6,4,4
101,Firehouse Subs,6,6,7,6,6,6,6,5,4,6,6,5,7,6,7,7,6,6,6,7,6,6,6,6,5,4,4,3,5,6,7,6,4,6,6,7,7,6,6,6,7
101,Jersey Mikes,7,6,6,6,6,6,6,5,5,6,6,5,6,6,5,6,6,5,5,6,5,6,5,6,4,5,7,5,7,5,6,6,5,,5,6,6,6,6,7,7
102,Firehouse Subs,2,6,7,5,7,6,4,6,5,5,4,1,7,4,7,5,6,,4,5,6,5,6,5,5,6,6,1,6,5,6,4,7,5,6,6,6,5,5,5,4
102,Panera,2,6,2,3,6,5,6,5,5,5,7,1,4,1,4,5,6,,5,5,6,4,3,5,4,6,5,1,3,6,4,6,1,3,6,5,6,4,5,2,2
105,Subway,5,5,5,7,4,4,6,4,6,6,5,6,5,5,5,6,5,,4,5,5,5,6,7,5,5,5,5,6,6,5,4,4,5,4,6,6,5,6,5,5
105,Jimmy Johns,4,5,5,6,4,7,6,5,5,5,5,5,6,6,5,5,5,,5,6,5,6,5,4,4,4,5,5,6,6,6,6,5,6,5,6,6,7,4,5,6
110,Chipotle,6,6,6,4,5,3,5,6,6,5,5,,5,5,5,6,2,7,,5,6,5,6,7,6,6,3,6,6,4,4,6,4,4,6,6,5,5,,4,5
110,Jersey Mikes,3,4,5,3,5,5,4,,4,4,5,4,5,5,4,4,,,4,5,3,5,4,4,4,4,3,5,5,5,4,5,5,5,4,4,5,,,4,5
111,Firehouse Subs,5,4,6,6,5,4,4,,4,,3,4,5,3,4,4,4,,5,5,4,4,,3,4,,4,,6,6,4,3,3,4,5,5,4,4,4,4,5
111,Panera,4,4,3,3,4,4,5,4,4,4,4,4,3,3,3,4,4,,4,4,3,4,,,4,,2,,5,5,5,4,4,4,4,4,4,4,3,4,4
116,Subway,5,6,5,6,5,6,4,3,4,6,6,,5,2,4,5,5,5,5,5,6,5,5,5,4,4,6,4,4,5,5,4,3,5,5,4,5,4,4,4,4
116,McDonalds,6,7,6,7,5,6,6,6,6,6,4,3,7,4,5,5,6,5,5,5,7,6,4,6,5,5,5,7,4,4,4,6,6,5,5,6,6,5,6,6,6
120,Subway,3,5,4,2,2,5,4,4,,6,6,6,3,4,5,5,6,,7,7,5,5,7,7,6,,4,,6,6,4,4,4,4,6,5,6,4,7,4,4
120,McDonalds,3,4,4,3,6,2,4,4,4,4,6,5,4,6,6,5,4,,5,6,6,4,3,4,6,,6,,5,4,3,4,4,4,6,4,4,4,4,5,4
121,Jersey Mikes,4,4,5,6,7,4,6,4,5,4,7,2,4,5,4,6,4,7,5,4,4,5,7,4,5,5,5,5,5,3,4,4,4,5,6,5,5,5,5,5,3
121,Jimmy Johns,4,5,4,5,4,4,3,3,2,4,4,3,5,5,5,5,4,4,4,4,5,4,4,3,4,4,5,3,4,4,3,7,4,5,5,4,5,4,5,5,4
123,Subway,7,7,5,7,7,7,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7
123,McDonalds,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
125,Subway,5,3,6,3,4,5,4,3,3,7,6,4,6,6,5,6,3,4,4,6,6,4,6,7,5,7,5,3,7,6,3,4,5,3,4,3,6,6,7,2,5
125,McDonalds,4,1,3,3,2,1,1,3,1,2,3,3,2,2,4,2,3,2,1,2,5,1,1,1,2,6,2,5,1,3,1,3,1,2,1,1,1,1,1,1,4
127,Firehouse Subs,6,5,4,6,7,5,6,7,6,5,6,7,7,6,7,7,5,5,6,5,7,7,6,7,6,6,5,5,6,6,6,5,6,6,6,7,7,7,6,5,6
127,Jersey Mikes,6,4,6,7,7,6,7,7,7,7,6,7,7,6,4,6,7,7,6,7,6,6,7,7,6,7,5,6,4,7,6,6,7,7,7,7,7,7,7,5,6
128,Chipotle,3,2,3,1,1,3,1,1,1,1,2,,1,1,3,2,,1,1,1,3,1,6,1,1,2,4,6,1,1,1,1,3,1,1,1,3,1,1,1,1
128,Jersey Mikes,5,4,4,4,5,4,5,,5,4,4,,3,1,3,3,,,3,4,5,3,4,5,4,1,5,5,3,3,4,2,3,2,4,5,4,5,5,3,3
130,McDonalds,4,4,4,3,4,4,2,4,4,4,4,2,4,4,4,4,2,,4,4,4,,,4,4,4,4,5,,,,,,,3,4,4,4,2,4,
134,Jimmy Johns,7,6,7,7,6,7,7,7,7,6,7,7,7,7,6,6,7,6,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,6,7
134,Panera,7,6,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,6,7,6,7,7,7,7,6,6,7,6
138,Chipotle,4,4,5,5,4,5,4,4,4,4,3,3,3,4,5,4,5,3,5,6,4,4,5,3,4,4,5,5,4,3,5,3,5,4,3,5,4,5,4,4,4
138,Jimmy Johns,3,4,3,3,4,4,3,4,4,4,3,4,4,3,3,3,4,5,4,5,4,5,4,3,3,5,4,4,5,5,4,3,4,3,3,5,4,4,5,4,6
144,Firehouse Subs,4,6,4,4,4,5,5,5,4,4,4,5,5,6,6,5,5,7,5,5,7,5,4,5,4,3,5,5,6,6,4,4,5,4,5,6,4,5,5,5,5
144,Jimmy Johns,5,5,5,5,4,5,4,2,5,3,5,4,4,5,3,5,4,3,6,5,7,3,5,4,3,4,5,2,4,7,5,4,5,4,4,5,5,4,5,4,6
145,Subway,3,3,4,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3
145,McDonalds,3,3,4,5,3,4,2,3,3,2,3,2,3,3,3,3,2,4,2,3,3,5,3,4,2,5,3,2,4,4,3,3,2,3,3,4,3,3,2,3,2
152,McDonalds,3,3,2,2,1,4,2,3,2,3,2,2,3,2,3,2,2,3,5,3,3,4,3,2,2,2,3,3,2,1,1,2,2,2,2,3,1,2,1,2,2
153,Chipotle,7,6,6,6,5,5,5,5,7,5,7,4,4,7,5,5,3,1,6,5,6,5,7,7,5,4,5,2,7,6,5,4,5,5,7,6,7,7,4,6,6
153,Panera,7,5,6,6,5,6,4,4,6,5,5,3,5,7,5,6,3,1,5,5,7,5,5,5,5,4,6,5,7,6,7,6,7,6,6,6,6,4,7,5,7
155,Firehouse Subs,6,5,5,7,7,7,6,6,5,5,6,6,5,6,5,6,7,7,4,7,7,6,4,5,6,5,6,7,7,6,6,7,6,6,7,6,5,6,5,5,6
155,Jersey Mikes,6,7,5,5,7,6,6,6,7,6,4,5,6,5,6,7,6,7,5,6,6,7,6,6,7,7,5,5,7,7,6,7,5,7,7,6,6,5,6,7,5
159,Chipotle,4,5,5,5,5,5,4,4,5,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,5,6,6,5,5,4
159,Panera,5,3,4,4,4,4,3,3,4,3,4,4,4,2,4,3,3,4,3,4,4,4,4,4,3,4,4,3,2,4,4,4,2,4,2,4,4,3,3,4,5
162,Chipotle,5,6,5,2,3,5,4,,,7,2,,2,2,4,3,4,,7,7,4,7,7,6,6,7,4,,7,6,6,4,4,7,6,4,4,3,,,4
162,Jersey Mikes,7,7,7,7,7,7,4,,,5,7,4,7,4,7,4,5,7,7,7,7,7,7,7,7,7,4,,5,7,7,4,7,7,7,7,7,7,7,4,4
164,Jersey Mikes,6,6,7,6,6,7,7,7,6,7,6,7,7,6,6,6,7,7,6,7,7,7,6,6,7,5,5,6,6,7,7,6,7,6,7,7,7,7,7,7,7
164,Jimmy Johns,6,6,6,5,7,5,6,6,6,7,6,6,7,6,5,7,4,6,5,6,7,5,7,6,6,6,6,7,6,7,7,6,6,7,6,7,6,7,7,6,7
165,Jersey Mikes,4,5,5,5,5,5,4,4,4,5,4,,2,2,3,3,4,4,4,4,4,5,4,5,5,,5,4,5,5,5,4,4,4,4,5,5,4,4,4,5
165,Panera,3,4,,4,4,4,3,,4,4,3,3,4,3,2,3,4,4,,4,3,4,3,3,4,,4,,4,3,3,4,4,5,4,4,4,3,,,3
167,Subway,6,5,5,5,6,4,7,5,6,7,5,4,4,5,5,5,4,4,4,7,6,4,7,5,4,7,6,5,4,4,5,5,,4,7,4,6,5,4,4,6
167,McDonalds,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,4,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,3
169,Firehouse Subs,3,3,3,3,3,3,2,3,3,3,,2,4,3,3,3,4,4,2,3,4,3,3,3,1,3,3,4,3,3,3,1,3,3,6,3,4,2,4,2,3
169,Jersey Mikes,7,4,4,3,3,2,3,4,3,3,3,2,4,3,3,4,4,3,2,4,3,3,3,3,3,2,4,3,2,6,3,3,3,3,4,3,4,3,4,4,3
173,Chipotle,7,7,7,7,7,4,4,7,7,2,7,5,5,5,3,5,2,2,2,6,7,3,7,7,7,6,7,6,5,6,5,6,4,6,7,6,7,7,,3,6
